100,UNIQUE_SUM: m=100 range=(1; 1000) shiftHash
872,0.000000,434116.856729
873,0.000000,438813.846432
874,0.000000,430846.579250
875,0.000000,426383.376909
876,0.000000,446819.330629
877,0.000000,442400.994885
878,0.000000,445437.884950
879,0.000000,461940.096928
880,0.000000,444645.896998
881,0.000000,439742.252147
882,0.000000,437248.847316
883,0.000000,452202.752057
884,0.000000,426638.028942
885,0.000000,440751.370545
886,0.000000,441569.094157
887,0.000000,429715.475388
888,0.000000,445093.126568
889,0.000000,440369.409439
890,0.000000,450334.611732
891,0.000000,435267.064512
892,0.000000,457405.128341
893,0.000000,443242.582136
894,0.000000,457315.624934
895,0.000000,441513.651242
896,0.000000,457297.505789
897,0.000000,456995.261836
898,0.000000,459630.078219
899,0.000000,442317.769873
900,0.000000,451328.908009
901,0.000000,466531.725776
902,0.000000,444067.428300
903,0.000000,457739.491819
904,0.000000,452331.297645
905,0.000000,463057.440289
906,0.000000,460014.565493
907,0.000000,444429.153499
908,0.000000,440765.229371
909,0.000000,452926.089987
910,0.000000,454507.226758
911,0.000000,468590.508093
912,0.000000,464141.745373
913,0.000000,457060.663797
914,0.000000,459188.080417
915,0.000000,460833.187050
916,0.000000,459662.866669
917,0.000000,460031.615861
918,0.000000,450616.079481
919,0.000000,452368.150281
920,0.000000,452770.059880
921,0.000000,460494.099001
922,0.000000,462275.082104
923,0.000000,454205.160059
924,0.000000,467388.889416
925,0.000000,456429.776665
926,0.000000,463962.792351
927,0.000000,479474.551113
928,0.000000,474558.505841
929,0.000000,472562.452904
930,0.000000,481194.261392
931,0.000000,474931.053884
932,0.000000,468003.783378
933,0.000000,465083.472987
934,0.000000,478677.403587
935,0.000000,462841.820534
936,0.000000,462066.431293
937,0.000000,464956.674943
938,0.000000,476735.609241
939,0.000000,471142.035772
940,0.000000,455897.943763
941,0.000000,465781.799835
942,0.000000,464183.060203
943,0.000000,472264.962744
944,0.000000,482897.880439
945,0.000000,465926.980082
946,0.000000,484623.759946
947,0.000000,491074.406943
948,0.000000,481199.548076
949,0.000000,472062.050829
950,0.000000,471864.654789
951,0.000000,462326.600980
952,0.000000,462741.697857
953,0.000000,465857.890437
954,0.000000,477647.815203
955,0.000000,482333.624291
956,0.000000,487400.882245
957,0.000000,483718.438454
958,0.000000,481368.474591
959,0.000000,480952.505331
960,0.000000,465250.011403
961,0.000000,487840.316534
962,0.000000,473709.167930
963,0.000000,490654.847923
964,0.000000,491981.075723
965,0.000000,483833.556796
966,0.000000,483966.136218
967,0.000000,472070.175595
968,0.000000,460633.321959
969,0.000000,472760.560698
970,0.000000,484208.856568
971,0.000000,489549.876631
972,0.000000,484575.921656
973,0.000000,471631.491078
974,0.000000,489318.509479
975,0.000000,475941.836567
976,0.000000,494086.218569
977,0.000000,475555.524060
978,0.000000,480348.814774
979,0.000000,478529.417001
980,0.000000,500683.722184
981,0.000000,482440.631325
982,0.000000,485337.631101
983,0.000000,492498.732712
984,0.000000,513324.348929
985,0.000000,487520.676774
986,0.000000,489951.436393
987,0.000000,489957.465288
988,0.000000,497373.437997
989,0.000000,492885.108189
990,0.000000,481182.104206
991,0.000000,478651.897357
992,0.000000,507092.096949
993,0.000000,495787.974548
994,0.000000,493679.837844
995,0.000000,512059.809479
996,0.000000,507295.150031
997,0.000000,482798.891657
998,0.000000,510278.735464
999,0.000000,503378.157787
1000,0.000000,504255.956249
